config,lut,ff,bram,dsp,latency,fits
"bram(8, 6)_dsp11",17748.076083683332,15636.101213805381,31.5,402.0,19,True
"bram(4, 4)_dsp-",18133.12,21472.506000000005,261.5,0.0,29,True
"bram(5, 4)_dsp-",18262.790815143446,20439.675248318832,217.0,0.0,27,True
"bram(6, 4)_dsp-",18534.201058749873,19687.82816445807,152.5,0.0,27,True
"bram(4, 5)_dsp-",18591.484476900325,19879.625889932755,177.5,0.0,26,True
"bram(5, 5)_dsp-",18662.682010608296,19676.0006380538,159.0,0.0,26,True
"bram(8, 8)_dsp11",18672.041348890863,15355.437208860762,17.0,402.0,18,True
"bram(6, 5)_dsp-",18845.799541881097,19114.67262816456,123.5,0.0,26,True
"bram(9, 6)_dsp11",19057.484204466135,15003.168719738926,9.0,402.0,18,True
"bram(7, 4)_dsp-",19105.966791590257,17690.894179390827,92.5,0.0,22,True
"bram(4, 6)_dsp-",19108.589347402147,19261.078225276902,120.0,0.0,26,True
"bram(5, 6)_dsp-",19148.461908912548,19179.883854825952,110.5,0.0,26,True
"bram(6, 6)_dsp-",19235.41906041605,18835.926600474686,93.5,0.0,26,True
"bram(8, 6)_dsp13",19274.330363445235,15636.101213805381,31.5,161.96733212341198,19,True
"bram(7, 5)_dsp-",19280.99810910973,17480.556007120253,82.0,0.0,22,True
"bram(9, 8)_dsp11",19405.361376328503,14938.916481704906,5.5,402.0,17,True
"bram(7, 6)_dsp-",19463.969942837422,16959.5055195807,73.0,0.0,21,True
"bram(4, 7)_dsp-",19679.140934033323,18545.03338350475,86.5,0.0,24,True
"bram(5, 7)_dsp-",19708.814667386374,18461.921035799056,79.5,0.0,24,True
"bram(6, 7)_dsp-",19765.612427053136,17557.91442306171,70.5,0.0,24,True
"bram(10, 6)_dsp11",19783.689335117815,12475.594360858388,2.0,402.0,14,True
"bram(10, 8)_dsp11",19845.683640559993,12135.792723892406,1.5,402.0,13,True
"bram(7, 7)_dsp-",19911.115708764664,16740.856112539557,58.0,0.0,21,True
"bram(8, 10)_dsp11",20098.590295938084,13458.23804104035,1.5,402.0,14,True
"bram(8, 6)_dsp15",20114.61578755238,15636.101213805381,31.5,40.85662431941924,19,True
"bram(9, 10)_dsp11",20140.81830109435,13061.216749307756,0.5,402.0,13,True
"bram(8, 8)_dsp13",20198.295628652766,15355.437208860762,17.0,161.96733212341198,18,True
"bram(10, 10)_dsp11",20218.038,11775.213,0.0,402.0,10,True
"bram(8, 4)_dsp-",20493.20168438331,15674.141096024528,35.0,0.0,19,True
"bram(8, 5)_dsp-",20554.588916720888,15642.814134196997,32.5,0.0,19,True
"bram(9, 6)_dsp13",20583.738484228037,15003.168719738926,9.0,161.96733212341198,18,True
"bram(8, 6)_dsp-",20589.192083683327,15636.101213805381,31.5,0.0,19,True
"bram(4, 8)_dsp-",20847.683811623778,16645.916238429592,47.0,0.0,20,True
"bram(5, 8)_dsp-",20853.82739144237,16625.138151503168,45.5,0.0,20,True
"bram(8, 7)_dsp-",20865.871721837717,15427.361355913768,25.5,0.0,18,True
"bram(6, 8)_dsp-",20882.262695662026,16548.0993984375,40.5,0.0,20,True
"bram(9, 8)_dsp13",20931.615656090406,14938.916481704906,5.5,161.96733212341198,17,True
"bram(7, 8)_dsp-",20946.02965456965,16393.0629036788,35.0,0.0,20,True
"bram(8, 8)_dsp15",21038.58105275991,15355.437208860762,17.0,40.85662431941924,18,True
"bram(10, 6)_dsp13",21309.943614879718,12475.594360858388,2.0,161.96733212341198,14,True
"bram(10, 8)_dsp13",21371.937920321896,12135.792723892406,1.5,161.96733212341198,13,True
"bram(9, 6)_dsp15",21424.02390833518,15003.168719738926,9.0,40.85662431941924,18,True
"bram(8, 8)_dsp-",21513.157348890858,15355.437208860762,17.0,0.0,18,False
"bram(4, 9)_dsp-",21583.359282707283,15370.781026898736,24.5,0.0,17,False
"bram(5, 9)_dsp-",21586.783175017248,15364.707432258705,23.5,0.0,17,False
"bram(6, 9)_dsp-",21588.99292111801,15358.31417474288,23.0,0.0,17,False
"bram(7, 9)_dsp-",21612.158830789707,15334.659121934337,21.0,0.0,17,False
"bram(8, 10)_dsp13",21624.844575699986,13458.23804104035,1.5,161.96733212341198,14,False
"bram(9, 10)_dsp13",21667.072580856257,13061.216749307756,0.5,161.96733212341198,13,False
"bram(10, 10)_dsp13",21744.292279761903,11775.213,0.0,161.96733212341198,10,False
"bram(9, 8)_dsp15",21771.90108019755,14938.916481704906,5.5,40.85662431941924,17,False
"bram(9, 4)_dsp-",21898.60020446613,15003.168719738926,9.0,0.0,18,False
"bram(9, 6)_dsp-",21898.60020446613,15003.168719738926,9.0,0.0,18,False
"bram(9, 5)_dsp-",21898.60020446613,15003.168719738926,9.0,0.0,18,False
"bram(9, 7)_dsp-",21968.09793348122,15000.291753856805,8.0,0.0,18,False
"bram(8, 9)_dsp-",21974.727171783492,15022.987818037976,10.0,0.0,17,False
"bram(10, 6)_dsp15",22150.22903898686,12475.594360858388,2.0,40.85662431941924,14,False
"bram(10, 8)_dsp15",22212.22334442904,12135.792723892406,1.5,40.85662431941924,13,False
"bram(9, 8)_dsp-",22246.477376328497,14938.916481704906,5.5,0.0,17,False
"bram(9, 9)_dsp-",22401.11103753327,14942.113110462818,4.0,0.0,17,False
"bram(8, 10)_dsp15",22465.12999980713,13458.23804104035,1.5,40.85662431941924,14,False
"bram(9, 10)_dsp15",22507.358004963397,13061.216749307756,0.5,40.85662431941924,13,False
"bram(10, 10)_dsp15",22584.577703869047,11775.213,0.0,40.85662431941924,10,False
"bram(10, 5)_dsp-",22624.80533511781,12475.594360858388,2.0,0.0,14,False
"bram(10, 7)_dsp-",22624.80533511781,12475.594360858388,2.0,0.0,14,False
"bram(10, 6)_dsp-",22624.80533511781,12475.594360858388,2.0,0.0,14,False
"bram(10, 4)_dsp-",22624.80533511781,12475.594360858388,2.0,0.0,14,False
"bram(10, 8)_dsp-",22686.799640559988,12135.792723892406,1.5,0.0,13,False
"bram(10, 9)_dsp-",22748.76966307798,12140.907329905063,1.0,0.0,13,False
"bram(4, 10)_dsp-",22874.6523420487,14936.039515822786,4.5,0.0,16,False
"bram(6, 10)_dsp-",22876.352146741592,14551.485076246046,4.0,0.0,15,False
"bram(5, 10)_dsp-",22876.352146741592,14551.485076246046,4.0,0.0,15,False
"bram(7, 10)_dsp-",22880.965902336582,14548.288447488134,3.5,0.0,15,False
"bram(8, 10)_dsp-",22939.70629593808,13458.23804104035,1.5,0.0,14,False
"bram(9, 10)_dsp-",22981.93430109435,13061.216749307756,0.5,0.0,13,False
"bram(10, 10)_dsp-",23059.153999999995,11775.213,0.0,0.0,10,False
bram-_dsp-,23059.154,11775.213,0.0,0.0,10,False
