config,bw_in_threshold,bw_out_threshold,pair_within_stage,lut_total,lut_logic,lut_memory,ff,bram_tile,bram_ramb18_used,bram_ramb36_used,dsp,cycles,latency_ns,wns_pp,fmax_pp_MHz,wns_pr,fmax_pr_MHz,status,bit_exact_passed,n_paired_modules,n_single_modules
bwin_0_bwout_0,0.0,0.0,True,,,,,,,,,35,,,,,,place_fail,True,1796,227
bwin_0_bwout_1,0.0,1.0,True,,,,,,,,,35,,,,,,place_fail,True,1796,227
bwin_0_bwout_2,0.0,2.0,True,,,,,,,,,34,,,,,,place_fail,True,1444,206
bwin_0_bwout_3,0.0,3.0,True,,,,,,,,,35,,,,,,place_fail,True,972,193
bwin_0_bwout_4,0.0,4.0,True,,,,,,,,,34,,,,,,place_fail,True,609,154
bwin_0_bwout_5,0.0,5.0,True,30741.0,27745.0,2996.0,31777.0,227.5,451.0,2.0,0.0,29,129.45600000000002,0.719,233.59028264424202,0.536,224.0143369175627,met,True,332,124
bwin_0_bwout_6,0.0,6.0,True,31592.0,28887.0,2705.0,30451.0,143.5,283.0,2.0,0.0,29,132.47199999999998,0.577,226.09088853719194,0.432,218.91418563922943,met,True,191,94
bwin_0_bwout_7,0.0,7.0,True,32416.0,30125.0,2291.0,29057.0,88.5,173.0,2.0,0.0,26,110.81200000000001,0.74,234.7417840375587,0.738,234.63162834350067,met,True,117,57
bwin_0_bwout_8,0.0,8.0,True,33815.0,31780.0,2035.0,28251.0,49.0,94.0,2.0,0.0,22,94.512,0.869,242.07213749697408,0.704,232.77467411545624,met,True,63,32
bwin_0_bwout_9,0.0,9.0,True,35039.0,32939.0,2100.0,27587.0,27.5,51.0,2.0,0.0,19,77.52,0.923,245.27839097375522,0.92,245.09803921568627,met,True,35,17
bwin_0_bwout_10,0.0,10.0,True,35720.0,34073.0,1647.0,27406.0,14.5,27.0,1.0,0.0,18,77.76,0.63,228.83295194508008,0.68,231.48148148148147,met,True,16,11
bwin_1_bwout_0,1.0,0.0,True,,,,,,,,,35,,,,,,place_fail,True,1796,227
bwin_1_bwout_1,1.0,1.0,True,,,,,,,,,35,,,,,,place_fail,True,1796,227
bwin_1_bwout_2,1.0,2.0,True,,,,,,,,,34,,,,,,place_fail,True,1444,206
