folder,bwin,bwout,cycles,lut,lut_logic,lut_mem,ff,bram_tile,ramb18,ramb36,dsp,wns_ns,fmax_mhz,latency_ns
bwin_0_bwout_10,0,10,18,35727,34080,1647,27406,17.0,32,1,,+1.075,254.8,70.65
bwin_0_bwout_5,0,5,29,30753,27758,2995,31776,304.5,605,2,,+0.350,215.1,134.85
bwin_0_bwout_6,0,6,29,31573,28877,2696,30474,190.5,377,2,,+0.454,220.0,131.83
bwin_0_bwout_7,0,7,26,32399,30108,2291,29053,115.5,227,2,,+0.438,219.2,118.61
bwin_0_bwout_8,0,8,22,33811,31776,2035,28247,63.5,123,2,,+0.796,237.9,92.49
bwin_0_bwout_9,0,9,19,35048,32948,2100,27602,34.5,65,2,,+0.604,227.5,83.52
bwin_10_bwout_0,10,0,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_1,10,1,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_10,10,10,14,36214,34798,1416,19938,1.5,1,1,,+0.638,229.3,61.07
bwin_10_bwout_2,10,2,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_3,10,3,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_4,10,4,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_5,10,5,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_6,10,6,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_7,10,7,14,35273,34496,777,24798,5.5,7,2,,+0.600,227.3,61.60
bwin_10_bwout_8,10,8,14,36118,34702,1416,19865,3.0,2,2,,+0.465,220.5,63.49
bwin_10_bwout_9,10,9,14,36158,34750,1408,19864,2.5,1,2,,+0.925,245.4,57.05
bwin_1_bwout_10,1,10,18,35727,34080,1647,27406,17.0,32,1,,+1.075,254.8,70.65
bwin_1_bwout_5,1,5,29,30753,27758,2995,31776,304.5,605,2,,+0.350,215.1,134.85
bwin_1_bwout_6,1,6,29,31573,28877,2696,30474,190.5,377,2,,+0.454,220.0,131.83
bwin_1_bwout_7,1,7,26,32399,30108,2291,29053,115.5,227,2,,+0.438,219.2,118.61
bwin_1_bwout_8,1,8,22,33811,31776,2035,28247,63.5,123,2,,+0.796,237.9,92.49
bwin_1_bwout_9,1,9,19,35048,32948,2100,27602,34.5,65,2,,+0.604,227.5,83.52
bwin_2_bwout_10,2,10,18,35727,34080,1647,27406,17.0,32,1,,+1.075,254.8,70.65
bwin_2_bwout_5,2,5,29,30748,27755,2993,31777,304.0,604,2,,+0.435,219.1,132.39
bwin_2_bwout_6,2,6,29,31579,28884,2695,30479,190.0,376,2,,+0.413,218.0,133.02
bwin_2_bwout_7,2,7,26,32399,30108,2291,29053,115.5,227,2,,+0.438,219.2,118.61
