folder,bwin,bwout,lookup_table,lookup_table_block,n_stages,latency_cycles,latency_ns,WNS_ns,Fmax_MHz,clb_lut_pct,lut_logic_pct,lut_mem_pct,bram_pct,clb_ff_pct,dsp_pct,lut_used,lut_logic_used,lut_mem_used,ff_used,ramb18_used,ramb36_used,bram_tile_used,dsp_used
bwin_0_bwout_0,0,0,0,3819,39,35,,,,,,,,,,,,,,,,,
bwin_0_bwout_1,0,1,0,3819,39,35,,,,,,,,,,,,,,,,,
bwin_0_bwout_10,0,10,3898,43,25,18,70.64999999999999,1.075,254.77707006369428,15.51,14.79,1.62,5.45,5.95,0.0,35727.0,34080.0,1647.0,27406.0,32.0,1.0,17.0,0.0
bwin_0_bwout_2,0,2,725,3094,36,34,,,,,,,,,,,,,,,,,
bwin_0_bwout_3,0,3,1682,2137,36,35,,,,,,,,,,,,,,,,,
bwin_0_bwout_4,0,4,2447,1372,37,34,,,,,,,,,,,,,,,,,
bwin_0_bwout_5,0,5,3031,797,33,29,134.85000000000002,0.35,215.0537634408602,13.35,12.05,2.94,97.6,6.9,0.0,30753.0,27758.0,2995.0,31776.0,605.0,2.0,304.5,0.0
bwin_0_bwout_6,0,6,3343,478,33,29,131.834,0.454,219.97360316761987,13.7,12.53,2.65,61.06,6.61,0.0,31573.0,28877.0,2696.0,30474.0,377.0,2.0,190.5,0.0
bwin_0_bwout_7,0,7,3528,300,31,26,118.61200000000001,0.438,219.20210434020166,14.06,13.07,2.25,37.02,6.3,0.0,32399.0,30108.0,2291.0,29053.0,227.0,2.0,115.5,0.0
bwin_0_bwout_8,0,8,3739,165,29,22,92.488,0.796,237.8686964795433,14.67,13.79,2.0,20.35,6.13,0.0,33811.0,31776.0,2035.0,28247.0,123.0,2.0,63.5,0.0
bwin_0_bwout_9,0,9,3946,87,27,19,83.524,0.604,227.47952684258416,15.21,14.3,2.06,11.06,5.99,0.0,35048.0,32948.0,2100.0,27602.0,65.0,2.0,34.5,0.0
bwin_10_bwout_0,10,0,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_1,10,1,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_10,10,10,3926,1,22,14,61.068,0.638,229.25263640531867,15.72,15.1,1.39,0.48,4.33,0.0,36214.0,34798.0,1416.0,19938.0,1.0,1.0,1.5,0.0
bwin_10_bwout_2,10,2,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_3,10,3,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_4,10,4,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_5,10,5,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_6,10,6,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_7,10,7,3931,8,20,14,61.60000000000001,0.6,227.27272727272725,15.31,14.97,0.76,1.76,5.38,0.0,35273.0,34496.0,777.0,24798.0,7.0,2.0,5.5,0.0
bwin_10_bwout_8,10,8,3922,3,20,14,63.49,0.465,220.5071664829107,15.68,15.06,1.39,0.96,4.31,0.0,36118.0,34702.0,1416.0,19865.0,2.0,2.0,3.0,0.0
bwin_10_bwout_9,10,9,3924,2,21,14,57.050000000000004,0.925,245.39877300613495,15.69,15.08,1.38,0.8,4.31,0.0,36158.0,34750.0,1408.0,19864.0,1.0,2.0,2.5,0.0
bwin_1_bwout_0,1,0,0,3819,39,35,,,,,,,,,,,,,,,,,
bwin_1_bwout_1,1,1,0,3819,39,35,,,,,,,,,,,,,,,,,
