config,lut,ff,bram,dsp,latency,fits
"bram(4, 4)_dsp-",30665.099000000006,38814.147,346.5,0.0,36,False
"bram(5, 4)_dsp-",30784.21040300497,38252.22980653728,300.5,0.0,34,False
"bram(6, 4)_dsp-",31080.456804739937,35756.964546067415,212.5,0.0,31,False
"bram(4, 5)_dsp-",31424.944896082452,36459.49889785495,212.5,0.0,33,False
"bram(5, 5)_dsp-",31491.80756360041,36085.6226886619,190.5,0.0,32,False
"bram(6, 5)_dsp-",31648.75019387905,34221.20460122574,150.0,0.0,29,False
"bram(7, 4)_dsp-",31782.180893188528,35094.13386251277,123.0,0.0,30,False
"bram(8, 6)_dsp11",32001.421408591545,33550.65375995914,45.0,216.0,26,False
"bram(7, 5)_dsp-",32137.000877337872,34302.26625720123,99.0,0.0,29,True
"bram(4, 6)_dsp-",32246.723221860582,35834.16612318693,136.0,0.0,33,False
"bram(5, 6)_dsp-",32272.199391005946,34425.51306067416,125.5,0.0,30,False
"bram(6, 6)_dsp-",32347.036865519287,34363.75179897854,107.5,0.0,30,False
"bram(7, 6)_dsp-",32647.801015059522,34057.97840960164,78.5,0.0,29,True
"bram(8, 6)_dsp13",32739.84731335346,33550.65375995914,45.0,94.31367628607278,26,True
"bram(8, 4)_dsp-",32907.1000967001,33533.28340510726,58.5,0.0,26,True
"bram(4, 7)_dsp-",32921.91045254868,34114.50099284985,88.5,0.0,30,True
"bram(5, 7)_dsp-",32938.31184131997,33975.53815403472,83.5,0.0,29,True
"bram(6, 7)_dsp-",32980.26796876367,33949.34476179775,75.0,0.0,29,True
"bram(8, 6)_dsp15",32996.50986573441,33550.65375995914,45.0,53.11919698870766,26,True
"bram(8, 5)_dsp-",33075.003176001956,33527.769006741575,52.5,0.0,26,True
"bram(8, 8)_dsp11",33142.84021278322,33477.58798161389,24.5,216.0,26,False
"bram(7, 7)_dsp-",33175.78823682294,33790.53008886619,57.0,0.0,28,True
"bram(9, 6)_dsp11",33321.50731729068,32144.757896629217,15.5,216.0,24,False
"bram(8, 6)_dsp-",33345.77340859156,33550.65375995914,45.0,0.0,26,True
"bram(8, 7)_dsp-",33625.55949440995,33577.67431195096,37.5,0.0,27,True
"bram(8, 8)_dsp13",33881.266117545136,33477.58798161389,24.5,94.31367628607278,26,False
"bram(9, 8)_dsp11",33897.52016246226,32139.243498263535,9.5,216.0,24,False
"bram(9, 6)_dsp13",34059.93322205259,32144.757896629217,15.5,94.31367628607278,24,False
"bram(10, 6)_dsp11",34077.58187607481,28357.74481899898,5.5,216.0,20,False
"bram(8, 8)_dsp15",34137.92866992609,33477.58798161389,24.5,53.11919698870766,26,False
"bram(4, 8)_dsp-",34143.09696907597,33761.30377752809,49.0,0.0,28,False
"bram(5, 8)_dsp-",34151.66104752421,33754.686499489275,46.5,0.0,28,False
"bram(6, 8)_dsp-",34180.712130150256,33738.970464147096,41.0,0.0,28,False
"bram(7, 8)_dsp-",34271.047443873846,33671.14336424924,33.0,0.0,27,False
"bram(9, 6)_dsp15",34316.59577443355,32144.757896629217,15.5,53.11919698870766,24,False
"bram(10, 8)_dsp11",34378.60137657795,26518.14152420838,3.5,216.0,19,False
"bram(8, 8)_dsp-",34487.19221278324,33477.58798161389,24.5,0.0,26,False
"bram(8, 10)_dsp11",34574.494849890696,31343.240094177734,5.0,216.0,22,False
"bram(9, 4)_dsp-",34578.37214892259,32121.045983656793,17.0,0.0,24,False
"bram(9, 5)_dsp-",34628.3423681252,32140.34637793667,16.0,0.0,24,False
"bram(9, 8)_dsp13",34635.94606722418,32139.243498263535,9.5,94.31367628607278,24,False
"bram(9, 10)_dsp11",34636.56477625871,31338.552855566908,3.5,216.0,22,False
"bram(9, 6)_dsp-",34665.85931729069,32144.757896629217,15.5,0.0,24,False
"bram(10, 10)_dsp11",34730.25893726361,26523.380202655775,2.0,216.0,19,False
"bram(9, 7)_dsp-",34740.8146460946,32144.48217671093,14.0,0.0,24,False
"bram(10, 6)_dsp13",34816.00778083672,28357.74481899898,5.5,94.31367628607278,20,False
"bram(4, 9)_dsp-",34867.6651475138,33220.617017773235,28.5,0.0,25,False
"bram(5, 9)_dsp-",34870.72935906868,32590.597004494382,27.5,0.0,24,False
"bram(6, 9)_dsp-",34888.4664297998,32599.144321961183,24.0,0.0,24,False
"bram(9, 8)_dsp15",34892.60861960513,32139.243498263535,9.5,53.11919698870766,24,False
"bram(7, 9)_dsp-",34960.887891356404,32065.902,18.5,0.0,23,False
"bram(8, 9)_dsp-",35060.592621180476,32059.0090020429,15.0,0.0,23,False
"bram(10, 6)_dsp15",35072.67033321768,28357.74481899898,5.5,53.11919698870766,20,False
"bram(10, 8)_dsp13",35117.02728133987,26518.14152420838,3.5,94.31367628607278,19,False
"bram(9, 8)_dsp-",35241.87216246228,32139.243498263535,9.5,0.0,24,False
"bram(8, 10)_dsp13",35312.92075465261,31343.240094177734,5.0,94.31367628607278,22,False
"bram(10, 8)_dsp15",35373.689833720826,26518.14152420838,3.5,53.11919698870766,19,False
