config,lut,ff,bram,dsp,latency,fits
"bram(4, 4)_dsp-_rlx",10821.251999999997,4837.1579999999985,84.5,0.0,10,True
"bram(5, 4)_dsp-_rlx",10825.10427180021,4835.241783912421,83.5,0.0,10,True
"bram(6, 4)_dsp-_rlx",10867.284702420715,4803.624218467394,75.5,0.0,9,True
"bram(7, 4)_dsp-_rlx",11300.645824026404,4713.753683960017,43.5,0.0,9,True
"bram(4, 5)_dsp-_rlx",11569.448789641212,4666.806389814372,40.0,0.0,9,True
"bram(5, 5)_dsp-_rlx",11571.121998604942,4666.135714183721,39.5,0.0,9,True
"bram(6, 5)_dsp-_rlx",11582.484254823748,4665.656660161826,37.5,0.0,9,True
"bram(7, 5)_dsp-_rlx",11817.706305654887,4604.43355616373,23.0,0.0,9,True
"bram(4, 6)_dsp-_rlx",12344.105628011157,4527.40166944312,15.5,0.0,9,True
"bram(5, 6)_dsp-_rlx",12344.105628011157,4527.40166944312,15.5,0.0,9,True
"bram(6, 6)_dsp-_rlx",12349.04743122961,4527.689101856257,14.5,0.0,9,True
"bram(8, 4)_dsp-_rlx",12364.651077612289,4496.933833650641,7.0,0.0,7,True
"bram(7, 6)_dsp-_rlx",12405.275034778162,4512.26356235126,10.5,0.0,9,False
"bram(8, 5)_dsp-_rlx",12450.724059653394,4476.238699904805,5.0,0.0,7,False
"bram(8, 6)_dsp-_rlx",12672.521526938339,4433.890324369347,2.0,0.0,6,False
"bram(8, 6)_dsp15_rlx",12672.521526938339,4433.890324369347,2.0,0.0,6,False
"bram(8, 6)_dsp13_rlx",12672.521526938339,4433.890324369347,2.0,0.0,6,False
"bram(8, 6)_dsp11_rlx",12672.521526938344,4433.890324369347,2.0,0.0,6,False
"bram(5, 7)_dsp-_rlx",12738.204706723773,4402.943434554973,3.0,0.0,6,False
"bram(4, 7)_dsp-_rlx",12738.204706723773,4402.943434554973,3.0,0.0,6,False
"bram(6, 7)_dsp-_rlx",12741.045270778477,4402.943434554973,2.5,0.0,6,False
"bram(7, 7)_dsp-_rlx",12752.913380870039,4394.7995161827685,1.5,0.0,5,False
"bram(5, 8)_dsp-_rlx",12795.716400872398,4389.338300333173,0.5,0.0,5,False
"bram(6, 8)_dsp-_rlx",12795.716400872398,4389.338300333173,0.5,0.0,5,False
"bram(4, 8)_dsp-_rlx",12795.716400872398,4389.338300333173,0.5,0.0,5,False
"bram(6, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(4, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(6, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(7, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(5, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(4, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(5, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 8)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(7, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(7, 8)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 7)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 4)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 8)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 8)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 4)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 5)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 5)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 6)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 7)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 8)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 7)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 6)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 10)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 9)_dsp-_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 8)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 8)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 10)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 6)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(8, 10)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 6)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 6)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 6)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 10)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 10)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(9, 8)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 10)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 10)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 8)_dsp15_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
"bram(10, 8)_dsp13_rlx",12801.630999999994,4434.560999999998,0.0,0.0,5,False
bram-_dsp-_rlx,12801.630999999998,4434.560999999998,0.0,0.0,5,False
"bram(9, 6)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(8, 10)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(8, 8)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(9, 8)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(10, 8)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(9, 10)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(10, 6)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
"bram(10, 10)_dsp11_rlx",12801.631,4434.560999999998,0.0,0.0,5,False
