config,lut,ff,bram,dsp,latency,fits
"bram(4, 4)_dsp-_rlx",22653.699000000004,19228.751999999997,486.5,0.0,23,False
"bram(5, 4)_dsp-_rlx",22815.686303538867,19214.145158765157,453.0,0.0,23,False
"bram(4, 5)_dsp-_rlx",23295.843993534876,19149.64828445424,414.5,0.0,23,False
"bram(5, 5)_dsp-_rlx",23403.32824978297,19143.37868136714,397.0,0.0,23,False
"bram(6, 4)_dsp-_rlx",23587.08138064899,19152.582992282245,355.0,0.0,22,False
"bram(6, 5)_dsp-_rlx",24084.262425026078,19102.759657111354,315.0,0.0,22,False
"bram(4, 6)_dsp-_rlx",25059.973146298285,19043.465219404625,309.5,0.0,22,False
"bram(5, 6)_dsp-_rlx",25095.931000874534,19043.33182359426,303.0,0.0,22,False
"bram(6, 6)_dsp-_rlx",25556.906449551327,19011.1167353914,250.0,0.0,22,False
"bram(7, 4)_dsp-_rlx",26747.373333784824,19156.051283351706,170.0,0.0,23,False
"bram(4, 7)_dsp-_rlx",26795.08119595882,19089.019888643874,228.0,0.0,23,False
"bram(5, 7)_dsp-_rlx",26813.201689603546,19087.485836824693,224.5,0.0,23,False
"bram(7, 5)_dsp-_rlx",26924.472845890672,19145.646410143323,161.5,0.0,23,False
"bram(6, 7)_dsp-_rlx",27138.485785479814,19072.47880815876,192.0,0.0,23,False
"bram(7, 6)_dsp-_rlx",27733.701531801984,19071.811829106944,139.0,0.0,23,False
"bram(7, 7)_dsp-_rlx",28726.223257920374,18991.907738699003,117.0,0.0,23,False
"bram(8, 6)_dsp11_rlx",29467.86740830334,18665.021305402424,62.0,216.0,22,False
"bram(8, 6)_dsp13_rlx",30274.004635299083,18665.021305402424,62.0,88.67368421052632,22,True
"bram(8, 6)_dsp15_rlx",30555.806770430107,18665.021305402424,62.0,50.43444976076555,22,True
"bram(8, 4)_dsp-_rlx",30578.831383558412,18684.49709371554,66.0,0.0,22,True
"bram(8, 5)_dsp-_rlx",30601.340434257712,18684.230302094813,65.5,0.0,22,True
"bram(8, 6)_dsp-_rlx",30803.426408303356,18665.021305402424,62.0,0.0,22,True
"bram(8, 7)_dsp-_rlx",31224.515536008264,18658.084723263502,57.0,0.0,22,True
"bram(4, 8)_dsp-_rlx",31748.80653767414,18672.62486659316,96.5,0.0,20,True
"bram(5, 8)_dsp-_rlx",31750.788466666534,18671.024116868793,96.0,0.0,20,True
"bram(6, 8)_dsp-_rlx",31838.38264981241,18667.08894046306,88.0,0.0,20,True
"bram(8, 8)_dsp11_rlx",32026.396171124277,18357.34386879823,38.5,216.0,19,False
"bram(7, 8)_dsp-_rlx",32370.212059967205,18545.431961411243,62.5,0.0,19,True
"bram(9, 6)_dsp11_rlx",32730.51183726054,18286.443995589852,22.5,216.0,19,False
"bram(8, 8)_dsp13_rlx",32832.533398120024,18357.34386879823,38.5,88.67368421052632,19,True
"bram(8, 8)_dsp15_rlx",33114.33553325105,18357.34386879823,38.5,50.43444976076555,19,True
"bram(8, 8)_dsp-_rlx",33361.95517112429,18357.34386879823,38.5,0.0,19,True
"bram(9, 6)_dsp13_rlx",33536.649064256286,18286.443995589852,22.5,88.67368421052632,19,True
"bram(9, 6)_dsp15_rlx",33818.4511993873,18286.443995589852,22.5,50.43444976076555,19,False
"bram(9, 4)_dsp-_rlx",33975.96385128504,18290.379171995584,23.5,0.0,19,False
"bram(9, 5)_dsp-_rlx",33998.472901984336,18288.511630650493,23.0,0.0,19,False
"bram(9, 8)_dsp11_rlx",34018.02245894293,18096.22157001102,17.5,216.0,17,False
"bram(9, 6)_dsp-_rlx",34066.07083726055,18286.443995589852,22.5,0.0,19,False
"bram(9, 7)_dsp-_rlx",34269.07699262409,18286.177203969124,21.5,0.0,19,False
"bram(10, 6)_dsp11_rlx",34768.11179938484,18080.414166482904,10.5,216.0,17,False
"bram(9, 8)_dsp13_rlx",34824.15968593867,18096.22157001102,17.5,88.67368421052632,17,False
"bram(4, 9)_dsp-_rlx",34902.62182999556,18440.516156560083,39.0,0.0,18,False
"bram(5, 9)_dsp-_rlx",34902.62182999556,18440.516156560083,39.0,0.0,18,False
"bram(6, 9)_dsp-_rlx",34936.703930346855,18439.915875413448,36.5,0.0,18,False
"bram(9, 8)_dsp15_rlx",35105.96182106969,18096.22157001102,17.5,50.43444976076555,17,False
"bram(7, 9)_dsp-_rlx",35113.48491815036,18424.975544652698,29.5,0.0,18,False
"bram(9, 8)_dsp-_rlx",35353.58145894294,18096.22157001102,17.5,0.0,17,False
"bram(8, 9)_dsp-_rlx",35542.07706275504,18296.248587651597,20.5,0.0,18,False
"bram(10, 6)_dsp13_rlx",35574.24902638058,18080.414166482904,10.5,88.67368421052632,17,False
"bram(10, 8)_dsp11_rlx",35717.77431104276,18079.94728114663,7.5,216.0,17,False
"bram(10, 6)_dsp15_rlx",35856.051161511605,18080.414166482904,10.5,50.43444976076555,17,False
"bram(10, 4)_dsp-_rlx",36103.670799384854,18080.414166482904,10.5,0.0,17,False
"bram(10, 5)_dsp-_rlx",36103.670799384854,18080.414166482904,10.5,0.0,17,False
"bram(10, 6)_dsp-_rlx",36103.670799384854,18080.414166482904,10.5,0.0,17,False
"bram(10, 7)_dsp-_rlx",36239.149802650485,18079.013510474084,10.0,0.0,17,False
"bram(8, 10)_dsp11_rlx",36290.23326554158,18224.014756339577,9.5,216.0,17,False
"bram(10, 8)_dsp13_rlx",36523.911538038505,18079.94728114663,7.5,88.67368421052632,17,False
"bram(9, 9)_dsp-_rlx",36616.63649252278,18077.81294818081,10.0,0.0,16,False
"bram(9, 10)_dsp11_rlx",36692.91876688857,18068.942126791615,5.5,216.0,16,False
"bram(10, 8)_dsp15_rlx",36805.71367316953,18079.94728114663,7.5,50.43444976076555,17,False
"bram(10, 8)_dsp-_rlx",37053.33331104278,18079.94728114663,7.5,0.0,17,False
"bram(8, 10)_dsp13_rlx",37096.370492537324,18224.014756339577,9.5,88.67368421052632,17,False
"bram(10, 10)_dsp11_rlx",37278.224868248784,18061.138471885333,2.5,216.0,16,False
"bram(4, 10)_dsp-_rlx",37306.878655712295,18244.424315325243,19.5,0.0,17,False
"bram(5, 10)_dsp-_rlx",37306.878655712295,18244.424315325243,19.5,0.0,17,False
"bram(6, 10)_dsp-_rlx",37337.74012145097,18240.8893263506,17.5,0.0,17,False
"bram(8, 10)_dsp15_rlx",37378.17262766835,18224.014756339577,9.5,50.43444976076555,17,False
"bram(7, 10)_dsp-_rlx",37473.96234808874,18237.02084785005,12.5,0.0,17,False
"bram(9, 10)_dsp13_rlx",37499.055993884314,18068.942126791615,5.5,88.67368421052632,16,False
"bram(10, 9)_dsp-_rlx",37596.09872224487,18069.87589746416,5.5,0.0,16,False
"bram(8, 10)_dsp-_rlx",37625.7922655416,18224.014756339577,9.5,0.0,17,False
"bram(9, 10)_dsp15_rlx",37780.85812901534,18068.942126791615,5.5,50.43444976076555,16,False
"bram(9, 10)_dsp-_rlx",38028.47776688859,18068.942126791615,5.5,0.0,16,False
"bram(10, 10)_dsp13_rlx",38084.36209524453,18061.138471885333,2.5,88.67368421052632,16,False
"bram(10, 10)_dsp15_rlx",38366.16423037555,18061.138471885333,2.5,50.43444976076555,16,False
"bram(10, 10)_dsp-_rlx",38613.7838682488,18061.138471885333,2.5,0.0,16,False
bram-_dsp-_rlx,39246.09000000001,17595.386999999995,0.0,0.0,13,False
